title,link,img_src,region,latlng,latitude
서울독립영화제,http://siff.kr/,https://t1.daumcdn.net/movie/fe0bea07894de8cf60875c23025f3f2232756bf4,서울,37.55032191,126.9558888
충무로단편영화제,https://cafe.daum.net/CYSFF,https://t1.daumcdn.net/movie/99f2a1eb626080a239c9cd5eeb23d0ba010e98fa,서울,37.56617806,127.0146315
광화문 국제 단편 영화제,http://gisff.kr/,https://t1.daumcdn.net/movie/f24c20609de909e1b75e250c1da109a99dd946fb,서울,37.57306963,126.9731214
서울영등포국제초단편영화제,https://sesiff.org/,https://t1.daumcdn.net/movie/b22e68848a112471f4e185cbf8c123fc02c9439d,서울,37.52080591,126.9028903
동대문영상단편영화제,,https://img1.daumcdn.net/thumb/R1280x0/?scode=mtistory2&fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2F9ORpK%2Fbtq6QyJSJOc%2F77SaHqOXrjYsY4JZf0SdvK%2Fimg.png,서울,37.58089496,127.0536039
서울세계단편영화제,https://cafe.daum.net/unicakva,https://t1.daumcdn.net/movie/9c4875a0d51da2ff7da01533923fe3973208f229,서울,37.59862979,127.1347766
디엠씨 단편영화 페스티벌,https://blog.naver.com/dmcsff,http://t1.daumcdn.net/movie/a87e7926d6b8fb805ad188e92092daa4673204e4,서울,37.58069037,126.8899489
인천독립영화제,http://in-film.kr/inff_2021,http://www.incheonin.com/news/photo/202106/80550_107765_3454.jpg,인천,37.49015229,126.7119127
부산독립영화제,https://indiebusan.modoo.at/,https://t1.daumcdn.net/movie/d3feac1bffe86c26699cdf601d5374146b065db1,경상,35.1007859,129.0307837
부산국제단편영화제,http://www.bisff.org/kor/default.asp,https://t1.daumcdn.net/movie/e57d9810b7d521df78d5f3a54a5e74b40ece9859,경상,35.17138318,129.1271511
경남독립영화제,https://www.facebook.com/gyeongnam.indie.2007/?ref=page_internal,http://www.gnynews.co.kr/news/photo/202111/360869_140654_5339.jpg,경상,35.25045232,128.5101199
대구단편영화제,http://diff.kr/,https://t1.daumcdn.net/movie/6def3dda14f8ef0b5300a83b73034d8bec0d71de,경상,35.87233533,128.5833876
울산단편영화제,http://uisff.com/,https://t1.daumcdn.net/movie/3deee076461785a37d03dd3c913e2d54d90c7c43,경상,35.54095016,129.3257759
포항맑은단편영화제,https://www.facebook.com/PHfilmfestival/,http://t1.daumcdn.net/movie/b63232215667bf0fda0a4e64c36e81e550f1d3c1,경상,36.04109491,129.3672287
천안 국제초단편영화제,https://www.ciesff.com/,https://t1.daumcdn.net/movie/5cc5671b4bdfdebe9d8399c8d53345f025030220,충청,36.82833683,127.1045047
충주단편영화제,https://blog.daum.net/kingpoworhanmailnet/category,https://blog.kakaocdn.net/dn/bl4Wn8/btqD0iCLS9e/Zp24LOmdBDCPcgNIkoc6j1/img.png,충청,36.96946689,127.9375099
청주국제단편영화제,https://cjiff.co.kr/,https://lh3.googleusercontent.com/aXy0r3a0KazbunOPLTixQwPQXRkDVAdHesG5RnBKRO_0XHE9Bgw67mLsM7_pmdICUVqVfvN41NkTo90XNPv3OH1sRAwQD_in6wnkEx_XV-gMvhgjq6uZ=w670-h980-n,충청,36.64210006,127.4676499
홍성국제단편영화제,https://www.facebook.com/hsiffa/,https://lh3.googleusercontent.com/proxy/44JmwEH9p-QglNz-y4XweqF4UWnlA6UNq1ODPPgPJbArwWXeRttdI_jYrujaRbVan4DsEjaJtnpdmLC3ufjtO0cgpgT4gJ1oNue9wKYz90lwRRggSw,충청,36.60109518,126.676171
전북독립영화제,http://www.jifa.or.kr/skin/template/jifa/html/movie/01.php,https://t1.daumcdn.net/movie/a8874207da618daeaf1fa0c68dbc2cff885316cf,전라,35.81853217,127.1425921
목포국도1호선독립영화제,https://www.facebook.com/nr1iff/,https://lh3.googleusercontent.com/proxy/xoQK4WzYFp75rf-zVVNtI4rNVv_W0YRavUVqvrM1mI-nbu_efY0ghGHfYUdtjqtZILEUcg0g_hFz1StzATub_rFfWfp2kFyhhsaluAW-MpZ4fWOEVWlX,전라,34.78699676,126.3872962
광주독립영화제,http://gjif.kr/,https://t1.daumcdn.net/movie/116904c9a5f2693a05b0b46f245b8ef4345d2891,전라,35.14708311,126.922304
전주단편영화제,http://jsff.cafe24.com/,http://jsff.cafe24.com/wp-content/uploads/2021/09/%EC%A0%9C4%ED%9A%8C-%EC%A0%84%EC%A3%BC%EA%B5%AD%EC%A0%9C%EB%8B%A8%ED%8E%B8%EC%98%81%ED%99%94%EC%A0%9C-724x1024.jpg,전라,35.82011787,127.1415648
대전독립영화제,http://www.difv.co.kr/main/main.html,https://t1.daumcdn.net/movie/ed3fbdcac7d545bfe9ddb798df828574f28358c1,대전,36.32110798,127.4099434
정동진독립영화제,http://jiff.kr/,https://t1.daumcdn.net/movie/9bbf7d03cf94b84b7470a36bcadded025cf2547b,강원,37.68763282,129.0335096
제주혼듸독립영화제,https://www.jjiff.or.kr/,https://t1.daumcdn.net/movie/a24e9b40456c4c10efddd60ddbe23e4cae407fa7,제주,33.51195527,126.5226321
서울국제음식영화제,http://www.sifff.kr/,https://t1.daumcdn.net/movie/973b9bfc8a62a75bf8563b611eeed295cf0b926b,서울,37.55390321,126.9096211
