year,film festival,title,director,field,img_link,genre
2021,서울독립영화제,황룡산,김무영,본선 단편경쟁,https://ssl.pstatic.net/imgmovie/mdi/mit110/2116/211602_P01_144722.jpg,다큐멘터리
2021,서울독립영화제,습지 장례법,신종원,본선 단편경쟁,https://ssl.pstatic.net/imgmovie/mdi/mit110/2116/211601_P01_145819.jpg,
2021,서울독립영화제,Trans-Continental-Railway,정재훈,본선 단편경쟁,https://ssl.pstatic.net/imgmovie/mdi/mit110/2041/204169_P01_165307.JPG,
2021,서울독립영화제,씨티백,황선영,본선 단편경쟁,https://ssl.pstatic.net/imgmovie/mdi/mit110/2116/211600_P01_150832.jpg,다큐멘터리
2021,서울독립영화제,Video Noire,성하은,본선 단편경쟁,https://ssl.pstatic.net/imgmovie/mdi/mit110/2053/205376_P01_153954.jpg,애니메이션
2021,서울독립영화제,선율,김윤정,본선 단편경쟁,https://ssl.pstatic.net/imgmovie/mdi/mit110/2074/207495_P01_180205.jpg,"애니메이션,다큐멘터리"
2021,서울독립영화제,외발자전거,이종헌,새로운선택,https://ssl.pstatic.net/imgmovie/mdi/mit110/2115/211595_P01_095857.jpg,
2021,서울독립영화제,두 여자,허태인,새로운선택,https://ssl.pstatic.net/imgmovie/mdi/mit110/2115/211594_P01_100453.jpg,
2021,서울독립영화제,텐트틴트,이준섭,새로운선택,https://ssl.pstatic.net/imgmovie/mdi/mit110/2115/211593_P01_101019.jpg,
2021,서울독립영화제,뭐해,신지수,새로운선택,https://ssl.pstatic.net/imgmovie/mdi/mit110/2041/204160_P01_173335.JPG,드라마
